"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","age:ch1","breed:ch1","status:ch1"
"GSM2124132","BOXER_BI_89068_JOHNSON_44368","GSM2124132","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 10.5","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","10.5","Boxer","DM-affected"
"GSM2124133","BOXER_BI_89070_JOHNSON_44786","GSM2124133","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 7.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","7.0","Boxer","DM-affected"
"GSM2124134","BOXER_BI_89077_JOHNSON_54758","GSM2124134","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 7.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","7.0","Boxer","DM-affected"
"GSM2124135","BOXER_BI_89079_JOHNSON_55061","GSM2124135","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 8.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","8.0","Boxer","DM-affected"
"GSM2124136","BOXER_BI_89095_JOHNSON_55817","GSM2124136","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 6.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","6.0","Boxer","DM-affected"
"GSM2124137","BOXER_BI_89107_JOHNSON_58306","GSM2124137","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 12.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","12.0","Boxer","DM-affected"
"GSM2124138","BOXER_BI_89109_JOHNSON_58966","GSM2124138","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 8.5","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","8.5","Boxer","DM-affected"
"GSM2124139","BOXER_BI_89189_JOHNSON_67030","GSM2124139","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 10.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","10.0","Boxer","DM-affected"
"GSM2124140","BOXER_BI_89202_JOHNSON_70247","GSM2124140","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 12.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","12.0","Boxer","DM-affected"
"GSM2124141","BOXER_BI_6597_BROAD_6597","GSM2124141","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 10.1","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","10.1","Boxer","DM-affected"
"GSM2124142","BOXER_BI_5545_BROAD_5545","GSM2124142","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 11.3","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11.3","Boxer","DM-affected"
"GSM2124143","BOXER_BI_89200_JOHNSON_68616","GSM2124143","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 7.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","7.0","Boxer","DM-affected"
"GSM2124144","BOXER_BI_89119_JOHNSON_59743","GSM2124144","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 8.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","8.0","Boxer","DM-affected"
"GSM2124145","BOXER_BI_89203_JOHNSON_71334","GSM2124145","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 11.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11.0","Boxer","DM-affected"
"GSM2124146","BOXER_BI_89204_JOHNSON_74434","GSM2124146","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-affected","age: 11.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11.0","Boxer","DM-affected"
