sample_id	computed_gender	call_rate	lrr_median	lrr_sd	lrr_auto	baf_sd	baf_conc	baf_auto	n_sites	n_hets	x_nonpar_n_hets	par1_n_hets	xtr_n_hets	par2_n_hets	x_nonpar_baf_corr	x_nonpar_lrr_median	y_nonpar_lrr_median	mt_lrr_median	lrr_gc_rel_ess	lrr_gc_0	lrr_gc_1	lrr_gc_2
GSM1755118	M	0.9910	0.0165	0.2285	0.0367	0.0354	0.4950	0.0034	164519	35372	0	161	0	0	-0.0000	-0.2650	nan	nan	0.2417	1.8494	-7.2285	6.6798
GSM1755119	F	0.9835	0.0135	0.3239	0.0053	0.0513	0.4988	-0.0080	164517	29157	868	100	0	0	0.0484	0.0450	nan	nan	0.0210	0.3908	-1.3091	0.9364
GSM1755120	M	0.9917	0.0062	0.1772	0.0163	0.0368	0.5066	0.0028	164519	33568	0	142	0	0	-0.0000	-0.3390	nan	nan	0.0745	0.6726	-2.4710	2.1119
GSM1755121	F	0.9908	0.0015	0.1851	0.0175	0.0385	0.5017	-0.0005	164514	35724	805	176	0	0	0.0362	0.0290	nan	nan	0.1066	0.7460	-2.8138	2.3918
GSM1755122	F	0.9740	-0.0290	0.3227	0.0412	0.0714	0.5015	-0.0036	164518	36602	743	100	0	0	0.0715	-0.0180	nan	nan	0.1445	-2.4811	10.3862	-10.4952
GSM1755123	F	0.9897	0.0170	0.2137	0.0156	0.0426	0.4990	-0.0066	164511	32965	875	140	0	0	0.0392	0.0530	nan	nan	0.1082	0.8601	-3.0320	2.4076
GSM1755124	M	0.9893	0.0210	0.2226	0.0248	0.0431	0.5029	0.0073	164513	33109	0	154	0	0	-0.0000	-0.3160	nan	nan	0.2018	1.1016	-3.7600	2.8031
GSM1755125	M	0.9866	0.0000	0.1772	0.0123	0.0361	0.5070	0.0175	164518	37684	0	158	0	0	-0.0000	-0.4610	nan	nan	0.1266	-1.0856	4.4043	-4.1902
GSM1755126	F	0.9845	0.0010	0.1652	0.0110	0.0430	0.5022	0.0148	164518	37319	850	180	0	0	0.0407	0.0160	nan	nan	0.0432	-0.6764	2.8777	-2.9201
GSM1755127	F	0.9868	0.0075	0.1759	0.0181	0.0414	0.5013	0.0178	164517	34424	736	153	0	0	0.0429	0.0170	nan	nan	0.0215	-0.4773	1.9867	-1.9597
GSM1755128	M	0.9893	0.0165	0.1831	0.0143	0.0440	0.5064	0.0079	164518	27193	0	116	0	0	-0.0000	-0.3460	nan	nan	0.0242	0.3179	-1.1804	1.0128
GSM2195589	M	0.9894	-0.0135	0.1985	0.0340	0.0376	0.5014	0.0131	164520	44422	0	184	0	0	-0.0000	-0.4470	nan	nan	0.2033	-1.3909	5.4965	-5.0865
GSM2195590	M	0.9944	0.0255	0.1688	0.0230	0.0329	0.5018	-0.0035	164520	42813	0	157	0	0	-0.0000	-0.2920	nan	nan	0.2105	1.1952	-4.6034	4.1568
GSM2195591	M	0.9922	0.0123	0.1678	0.0203	0.0345	0.5014	-0.0051	164518	35484	0	100	0	0	-0.0000	-0.4120	nan	nan	0.0666	-0.8571	3.7114	-3.7437
GSM2195592	M	0.9938	0.0275	0.1408	0.0184	0.0310	0.4992	0.0043	164518	43559	0	172	0	0	-0.0000	-0.3210	nan	nan	0.1304	0.7981	-2.9849	2.7052
GSM2195593	F	0.9929	0.0175	0.2003	0.0570	0.0346	0.5045	0.0070	164518	44304	928	162	0	0	0.0312	0.0430	nan	nan	0.2251	1.5968	-6.3007	5.8574
GSM2195594	M	0.9903	0.0345	0.1653	0.0213	0.0353	0.4942	-0.0126	164518	42739	0	158	0	0	-0.0000	-0.3520	nan	nan	0.0359	-0.5410	2.2819	-2.1431
GSM2195595	F	0.9940	0.0025	0.1800	0.0154	0.0370	0.5028	0.0097	164519	33077	926	182	0	0	0.0353	0.0340	nan	nan	0.1257	0.9560	-3.6419	3.2284
GSM2195596	F	0.9929	0.0205	0.1434	0.0226	0.0346	0.5048	0.0017	164518	44268	738	174	0	0	0.0328	0.0390	nan	nan	0.0172	-0.0388	0.1417	0.0559
GSM2195597	M	0.9924	0.0425	0.1912	0.0408	0.0412	0.5021	0.0053	164518	39794	0	176	0	0	-0.0000	-0.2820	nan	nan	0.2600	0.6744	-1.7061	0.4912
GSM2195598	F	0.9926	-0.0118	0.3288	0.0122	0.0444	0.5016	0.0168	164520	44926	1114	177	0	0	0.0442	0.0360	nan	nan	0.0342	0.6396	-2.2582	1.6671
GSM2195599	F	0.9932	0.0075	0.2170	0.0304	0.0327	0.4965	0.0014	164520	48284	1198	143	0	0	0.0309	0.0320	nan	nan	0.4157	1.9531	-7.4517	6.5471
GSM2195600	F	0.9786	-0.0525	0.2490	0.0299	0.0439	0.5011	0.0039	164518	49776	1175	188	0	0	0.0399	-0.0440	nan	nan	0.1740	-2.2358	9.4797	-9.8844
GSM2195601	F	0.9712	-0.1195	0.3291	0.0278	0.0537	0.4974	0.0012	164516	50930	1028	181	0	0	0.0527	-0.0930	nan	nan	0.2295	-3.1040	12.7350	-12.7052
GSM2195602	M	0.9893	0.0170	0.1501	0.0202	0.0401	0.5052	0.0003	164518	42820	0	164	0	0	-0.0000	-0.3710	nan	nan	0.0555	-0.7793	3.6489	-4.0321
GSM2195603	F	0.9841	-0.0315	0.2494	0.0227	0.0502	0.4994	0.0010	164520	44277	917	150	0	0	0.0523	-0.0040	nan	nan	0.1734	-2.1494	9.0633	-9.2903
GSM2195604	F	0.9865	-0.0060	0.1954	0.0197	0.0449	0.5050	0.0054	164517	45295	1031	177	0	0	0.0424	0.0110	nan	nan	0.1772	-1.7311	7.4818	-7.8157
GSM2195605	M	0.9886	0.0050	0.1637	0.0190	0.0415	0.4959	0.0014	164519	41256	0	135	0	0	-0.0000	-0.4220	nan	nan	0.0959	-0.9922	4.2960	-4.4312
GSM2195606	F	0.9886	0.0060	0.1957	0.0044	0.0409	0.5027	0.0030	164519	50087	1114	192	0	0	0.0386	0.0290	nan	nan	0.0488	0.2858	-0.7925	0.2316
GSM2195607	F	0.9885	-0.0025	0.1753	0.0197	0.0431	0.5030	0.0199	164517	40746	758	181	0	0	0.0404	0.0070	nan	nan	0.1628	-1.3588	5.7315	-5.7624
GSM2195608	M	0.9933	0.0220	0.1599	0.0165	0.0380	0.5112	0.0112	164517	28902	0	136	0	0	-0.0000	-0.3170	nan	nan	0.0609	0.4752	-1.6805	1.3608
GSM2195609	M	0.9914	0.0203	0.1416	0.0154	0.0392	0.4989	0.0122	164518	45959	0	177	0	0	-0.0000	-0.3840	nan	nan	0.0301	-0.1912	1.2216	-1.6116
GSM2195610	M	0.9917	0.0270	0.1545	0.0126	0.0376	0.5010	0.0065	164517	48405	0	181	0	0	-0.0000	-0.3290	nan	nan	0.0713	0.4784	-1.6421	1.3034
GSM2195611	F	0.9915	0.0050	0.1446	0.0106	0.0377	0.5012	-0.0243	164520	50327	1236	189	0	0	0.0393	0.0180	nan	nan	0.0023	-0.0784	0.4489	-0.5636
GSM2195612	F	0.9918	0.0130	0.1578	0.0177	0.0374	0.5057	0.0160	164518	48045	1009	185	0	0	0.0369	0.0350	nan	nan	0.0662	0.6170	-2.3311	2.0905
GSM2195613	M	0.9937	0.0153	0.1818	0.0168	0.0390	0.4971	-0.0097	164519	48135	0	193	0	0	-0.0000	-0.3280	nan	nan	0.1940	1.2775	-4.9722	4.5635
GSM2195614	M	0.9943	0.0275	0.1790	0.0208	0.0376	0.5002	0.0028	164516	42694	0	178	0	0	-0.0000	-0.3110	nan	nan	0.1839	1.3490	-5.3218	5.0505
GSM2195615	F	0.9913	0.0192	0.1838	0.0099	0.0479	0.4996	0.0036	164517	50283	1291	170	0	0	0.0453	0.0470	nan	nan	0.1497	1.0995	-4.1795	3.7313
GSM2195616	M	0.9949	0.0155	0.1701	0.0190	0.0349	0.5000	-0.0003	164514	42251	0	178	0	0	-0.0000	-0.2780	nan	nan	0.2290	1.3441	-5.2334	4.8589
GSM2195617	M	0.9933	0.0310	0.1877	0.0237	0.0372	0.5033	-0.0057	164517	49058	0	175	0	0	-0.0000	-0.2970	nan	nan	0.2048	1.4520	-5.6409	5.2115
GSM2195618	F	0.9926	0.0075	0.1796	0.0221	0.0361	0.4992	0.0016	164518	49853	1405	184	0	0	0.0353	0.0300	nan	nan	0.1908	1.3445	-5.3836	5.0977
GSM2195619	F	0.9926	0.0010	0.1767	0.0085	0.0419	0.5034	0.0087	164516	37666	1106	139	0	0	0.0426	0.0330	nan	nan	0.0367	0.4291	-1.5902	1.3128
GSM2195620	M	0.9948	0.0195	0.2229	0.0321	0.0366	0.5022	0.0038	164516	40707	0	177	0	0	-0.0000	-0.2800	nan	nan	0.3727	2.0408	-7.9894	7.3141
GSM2195621	F	0.9941	0.0085	0.1893	0.0245	0.0364	0.5041	0.0078	164518	48597	1142	186	0	0	0.0353	0.0380	nan	nan	0.2805	1.4801	-5.7983	5.3052
GSM2195622	F	0.9941	0.0150	0.1336	0.0222	0.0360	0.5060	0.0013	164518	50309	985	160	0	0	0.0342	0.0370	nan	nan	0.0202	0.2567	-0.9167	0.7683
GSM2195623	M	0.9946	0.0140	0.1579	0.0108	0.0361	0.4953	0.0075	164519	33877	0	172	0	0	-0.0000	-0.3060	nan	nan	0.0861	0.7172	-2.8416	2.6082
GSM2195624	M	0.9930	0.0123	0.1467	0.0222	0.0363	0.4981	0.0172	164518	44438	0	171	0	0	-0.0000	-0.3650	nan	nan	0.0161	-0.3977	1.9179	-2.1647
GSM2195625	M	0.9813	-0.0495	0.3260	0.0234	0.0574	0.4980	0.0082	164518	43923	0	186	0	0	-0.0000	-0.5780	nan	nan	0.1426	-2.4852	10.2537	-10.4016
GSM2195626	F	0.9920	0.0152	0.1603	0.0154	0.0399	0.4936	-0.0059	164516	45465	1014	174	0	0	0.0361	0.0370	nan	nan	0.0723	0.4265	-1.4208	0.9986
GSM2195627	M	0.9922	0.0190	0.1501	0.0131	0.0384	0.5039	0.0062	164517	44865	0	189	0	0	-0.0000	-0.3380	nan	nan	0.0313	0.0781	0.0584	-0.4847
GSM2195628	M	0.9934	0.0225	0.1593	0.0123	0.0373	0.4987	0.0125	164516	43800	0	186	0	0	-0.0000	-0.3440	nan	nan	0.0899	0.4221	-1.2817	0.7738
GSM2195629	F	0.9933	0.0010	0.1341	0.0265	0.0353	0.4994	0.0066	164518	46955	1172	184	0	0	0.0328	0.0360	nan	nan	0.0156	-0.3629	1.5881	-1.6702
GSM2195630	M	0.9944	0.0022	0.1443	0.0340	0.0348	0.4966	0.0058	164519	30708	0	0	0	0	-0.0000	0.0340	nan	nan	0.0091	-0.1806	0.7201	-0.6560
GSM2195631	F	0.9856	-0.0145	0.2168	0.0277	0.0516	0.4997	0.0127	164520	45988	987	200	0	0	0.0494	0.0070	nan	nan	0.0637	-0.9947	4.0046	-3.8338
GSM2195632	M	0.9950	0.0085	0.1811	0.0287	0.0328	0.5052	0.0049	164519	41593	0	189	0	0	-0.0000	-0.3020	nan	nan	0.2304	1.2935	-5.1310	4.6911
GSM2195633	F	0.9933	-0.0050	0.2054	0.0766	0.0374	0.4989	-0.0045	164517	37446	616	186	0	0	0.0359	0.0080	nan	nan	0.2888	0.8103	-2.3963	1.0465
GSM2195634	M	0.9952	0.0015	0.1951	0.0312	0.0320	0.5033	-0.0008	164517	36766	0	163	0	0	-0.0000	-0.2990	nan	nan	0.2919	1.7004	-6.6809	6.1348
GSM2195635	F	0.9944	-0.0130	0.2264	0.0180	0.0310	0.5013	0.0060	164519	49765	1171	200	0	0	0.0308	0.0180	nan	nan	0.3727	2.0841	-8.2071	7.5329
GSM2195636	F	0.9948	-0.0080	0.1870	0.0233	0.0295	0.4998	0.0021	164518	45045	1204	178	0	0	0.0285	0.0160	nan	nan	0.2821	1.5604	-6.1541	5.6146
GSM2195637	M	0.9934	-0.0015	0.2712	0.0171	0.0389	0.4956	-0.0068	164517	48599	0	167	0	0	-0.0000	-0.3160	nan	nan	0.3063	2.1023	-8.0396	7.0179
GSM2195638	M	0.9937	0.0155	0.1818	0.0265	0.0373	0.5014	0.0067	164518	49427	0	166	0	0	-0.0000	-0.3180	nan	nan	0.2130	1.2741	-4.9309	4.5459
GSM2195639	M	0.9944	0.0055	0.1709	0.0212	0.0364	0.4966	0.0137	164517	35224	0	138	0	0	-0.0000	-0.3170	nan	nan	0.1649	1.1617	-4.5769	4.2148
GSM2195715	M	0.9944	0.0310	0.1660	0.0517	0.0310	0.5007	-0.0036	164516	36479	0	140	0	0	-0.0000	-0.2960	nan	nan	0.1809	1.3183	-5.1692	4.8841
GSM2195716	F	0.9945	0.0235	0.1703	0.0410	0.0310	0.5016	-0.0282	164517	42618	1150	176	0	0	0.0304	0.0330	nan	nan	0.1648	1.2860	-5.0481	4.8156
GSM2195717	M	0.9942	0.0305	0.2210	0.0315	0.0313	0.5059	-0.0121	164516	34604	0	147	0	0	-0.0000	-0.2570	nan	nan	0.2720	1.8178	-7.1416	6.5983
GSM2195718	M	0.9924	0.0165	0.1953	0.0331	0.0396	0.4946	-0.0156	164511	37749	0	154	0	0	-0.0000	-0.3110	nan	nan	0.2586	1.6691	-6.5405	6.0826
GSM2195719	M	0.9929	0.0115	0.1494	0.0161	0.0278	0.4985	0.0070	164519	31471	0	192	0	0	-0.0000	-0.3690	nan	nan	0.0378	0.4976	-2.0803	2.0268
GSM2195720	M	0.9943	0.0115	0.1965	0.0308	0.0335	0.5042	0.0075	164512	30658	0	26	0	0	-0.0000	-0.2990	nan	nan	0.2837	1.6895	-6.6901	6.3454
GSM2195721	F	0.9930	0.0140	0.1898	0.0441	0.0323	0.5019	0.0068	164513	42448	1411	180	0	0	0.0296	0.0470	nan	nan	0.2459	1.5850	-6.2603	5.8644
GSM2195722	M	0.9904	0.0302	0.1824	0.0170	0.0401	0.4882	0.0013	164517	31473	0	106	0	0	-0.0000	-0.3480	nan	nan	0.0049	-0.2219	1.1448	-1.3065
GSM2195723	F	0.9879	0.0200	0.1865	0.0117	0.0411	0.4981	-0.0135	164512	41623	1233	180	0	0	0.0385	0.0290	nan	nan	0.0082	-0.2946	1.3869	-1.4543
GSM2195724	F	0.9927	0.0185	0.2075	0.0430	0.0381	0.4955	-0.0069	164513	36331	982	142	0	0	0.0350	0.0590	nan	nan	0.2039	1.5382	-6.0402	5.6681
GSM2195725	F	0.9931	0.0225	0.1925	0.0451	0.0363	0.5022	0.0039	164516	39817	1175	162	0	0	0.0352	0.0480	nan	nan	0.2109	1.4707	-5.7069	5.2548
GSM2195726	M	0.9933	0.0350	0.1688	0.0370	0.0327	0.5000	-0.0080	164514	39666	0	162	0	0	-0.0000	-0.2760	nan	nan	0.1520	1.1836	-4.4310	4.1518
GSM2195727	F	0.9935	0.0180	0.2021	0.0404	0.0331	0.4896	0.0133	164516	40378	1076	123	0	0	0.0307	0.0480	nan	nan	0.2631	1.6922	-6.6342	6.1188
GSM2195728	F	0.9946	0.0115	0.1607	0.0421	0.0286	0.5009	0.0123	164519	31376	853	83	0	0	0.0261	0.0430	nan	nan	0.1375	0.9776	-3.7884	3.4772
GSM2195729	F	0.9942	0.0095	0.1486	0.0282	0.0277	0.5019	0.0075	164520	39565	1105	61	0	0	0.0263	0.0390	nan	nan	0.0463	0.4599	-1.7125	1.5003
GSM2195730	M	0.9935	0.0295	0.1852	0.0235	0.0156	0.4987	-0.0015	164519	29061	0	105	0	0	-0.0000	-0.2800	nan	nan	0.1168	1.1444	-4.5516	4.4101
GSM2195731	M	0.9942	0.0240	0.1641	0.0352	0.0290	0.5021	0.0009	164520	36195	0	189	0	0	-0.0000	-0.3070	nan	nan	0.1225	1.0444	-4.1774	4.0352
GSM2195732	M	0.9947	0.0275	0.2147	0.0349	0.0342	0.4976	-0.0066	164517	39557	0	143	0	0	-0.0000	-0.2790	nan	nan	0.2351	1.7001	-6.5887	6.0375
GSM2195733	M	0.9936	-0.0035	0.1437	0.0285	0.0305	0.4972	0.0018	164511	32655	0	172	0	0	-0.0000	-0.3960	nan	nan	0.0745	0.5608	-2.0614	1.7020
GSM2195734	F	0.9929	0.0175	0.1924	0.0460	0.0379	0.5000	-0.0046	164502	40110	1016	153	0	0	0.0362	0.0400	nan	nan	0.1084	1.0981	-4.5083	4.2640
GSM2195735	F	0.9928	0.0003	0.1627	0.0289	0.0294	0.5018	0.0005	164511	36073	822	101	0	0	0.0282	0.0200	nan	nan	0.0956	0.7346	-2.8977	2.6317
GSM2195736	M	0.9695	-0.0375	0.2730	0.0282	0.0457	0.4891	0.0067	164510	39051	0	202	0	0	-0.0000	-0.6760	nan	nan	0.1455	-1.5813	6.0473	-5.4345
GSM2195737	M	0.9948	0.0205	0.1650	0.0229	0.0308	0.4987	0.0042	164503	37685	0	171	0	0	-0.0000	-0.3130	nan	nan	0.1108	0.8034	-2.9821	2.6496
GSM2195738	F	0.9899	-0.0020	0.2737	0.0065	0.0455	0.5057	0.0043	164503	32774	592	73	0	0	0.0446	0.0230	nan	nan	0.0822	-1.4390	5.9104	-5.7362
GSM2195739	M	0.9880	0.0200	0.1966	0.0386	0.0464	0.5089	0.0081	164519	39022	0	193	0	0	-0.0000	-0.3430	nan	nan	0.1456	-1.3356	5.4699	-5.2444
GSM2195740	F	0.9912	0.0120	0.1514	0.0258	0.0415	0.5041	0.0162	164518	39227	823	160	0	0	0.0361	0.0390	nan	nan	0.0674	0.5974	-2.3418	2.1078
GSM2195741	F	0.9913	0.0010	0.1760	0.0179	0.0462	0.5057	0.0183	164518	30290	889	45	0	0	0.0431	0.0350	nan	nan	0.1103	0.8892	-3.4168	3.0663
GSM2195742	M	0.9901	0.0088	0.1829	0.0099	0.0452	0.5000	0.0033	164516	40021	0	112	0	0	-0.0000	-0.3670	nan	nan	0.0212	0.2876	-0.9536	0.6864
GSM2195743	M	0.9914	0.0120	0.1502	0.0187	0.0386	0.5042	0.0062	164519	33536	0	125	0	0	-0.0000	0.0250	nan	nan	0.0128	-0.2141	0.8234	-0.6348
GSM2195744	F	0.9927	0.0130	0.1526	0.0404	0.0349	0.5031	0.0046	164518	39718	770	178	0	0	0.0307	0.0380	nan	nan	0.1549	0.9822	-3.8364	3.5067
GSM2195745	M	0.9945	0.0140	0.2349	0.0386	0.0296	0.5035	0.0075	164518	36911	0	164	0	0	-0.0000	-0.2690	nan	nan	0.3638	2.2185	-8.5243	7.7242
GSM2196600	F	0.9693	-0.0690	0.4364	0.0533	0.0631	0.4990	0.0021	164515	43420	967	214	0	0	0.0644	-0.0940	nan	nan	0.3848	-4.1488	15.9423	-14.5378
GSM2196601	M	0.9790	-0.0055	0.1743	0.0336	0.0579	0.5083	-0.0050	164518	38498	0	15	0	0	-0.0000	0.0030	nan	nan	0.0340	0.6416	-2.7290	2.8012
GSM2196602	F	0.9915	0.0370	0.1603	0.0481	0.0329	0.4919	-0.0022	164520	46884	1191	181	0	0	0.0313	0.0430	nan	nan	0.0319	0.5487	-2.2002	2.1869
GSM2196603	F	0.9902	0.0170	0.1735	0.0254	0.0352	0.5005	0.0045	164519	41971	973	122	0	0	0.0332	0.0300	nan	nan	0.0321	-0.3680	1.5497	-1.3880
GSM2400534	M	0.9680	-0.0395	0.2567	0.0200	0.0627	0.4947	-0.0099	164517	29607	0	105	0	0	-0.0000	-0.0190	nan	nan	0.3265	-2.4077	9.5355	-8.9796
GSM2400535	M	0.9940	0.0485	0.1675	0.0579	0.0338	0.5000	-0.0009	164519	34521	0	111	0	0	-0.0000	-0.2840	nan	nan	0.1565	1.0684	-3.9593	3.5446
GSM2400536	F	0.9931	0.0325	0.1687	0.0471	0.0393	0.5008	0.0102	164514	32741	458	77	0	0	0.0363	0.0470	nan	nan	0.1022	0.8879	-3.4027	3.1268
GSM2400537	M	0.9949	0.0300	0.1692	0.0526	0.0313	0.5047	0.0156	164520	34206	0	45	0	0	-0.0000	-0.2900	nan	nan	0.2268	1.2779	-4.9829	4.6104
GSM2400538	M	0.9945	0.0195	0.1644	0.0359	0.0299	0.4986	0.0021	164520	31153	0	139	0	0	-0.0000	-0.3020	nan	nan	0.1142	0.9525	-3.7225	3.5213
