mocha_sample_id	batch_id	green_idat	red_idat	other_id	study	broad_id_number		Comstock id	sample_type	breed	sex (annotation)	health_status	Cancer	Age	Age in DB	Age at death	date_of_birth	date_of_death	date_in_database												
GSM4195678	A	202317690047_R06C01_Grn.idat	202317690047_R06C01_Red.idat.gz	126_German Shepherd Dog_Acute_GDV_Female	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2001	Unknown	NA												
GSM4195696	A	202317690014_R01C02_Grn.idat	202317690014_R01C02_Red.idat.gz	178_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195795	A	202317690036_R05C02_Grn.idat	202317690036_R05C02_Red.idat.gz	334_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195729	A	202317690014_R05C02_Grn.idat	202317690014_R05C02_Red.idat.gz	248_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	1996	Unknown	NA												
GSM4195850	A	202317690062_R02C01_Grn.idat	202317690062_R02C01_Red.idat.gz	442_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	1999	Unknown	NA												
GSM4195707	A	202317690014_R04C02_Grn.idat	202317690014_R04C02_Red.idat.gz	206_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	1999	Unknown	NA												
GSM4195732	A	202317690039_R06C01_Grn.idat	202317690039_R06C01_Red.idat.gz	253_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195809	A	202317690058_R03C02_Grn.idat	202317690058_R03C02_Red.idat.gz	368_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195705	A	202317690014_R02C02_Grn.idat	202317690014_R02C02_Red.idat.gz	202_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195763	A	202317690058_R01C01_Grn.idat	202317690058_R01C01_Red.idat.gz	289_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195765	A	202317690058_R03C01_Grn.idat	202317690058_R03C01_Red.idat.gz	292_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2001	Unknown	NA												
GSM4195804	A	202317690058_R02C02_Grn.idat	202317690058_R02C02_Red.idat.gz	357_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2001	Unknown	NA												
GSM4195816	A	202317690052_R05C01_Grn.idat	202317690052_R05C01_Red.idat.gz	376_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2002	Unknown	NA												
GSM4195867	A	202317690039_R06C02_Grn.idat	202317690039_R06C02_Red.idat.gz	488_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2002	Unknown	NA												
GSM4195868	A	202317690036_R02C02_Grn.idat	202317690036_R02C02_Red.idat.gz	491_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2002	Unknown	NA												
GSM4195780	A	202317690058_R04C01_Grn.idat	202317690058_R04C01_Red.idat.gz	309_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2002	Unknown	NA												
GSM4195791	A	202317690038_R05C02_Grn.idat	202317690038_R05C02_Red.idat.gz	327_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2002	Unknown	NA												
GSM4195838	A	202317690058_R06C02_Grn.idat	202317690058_R06C02_Red.idat.gz	422_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195783	A	202317690058_R05C01_Grn.idat	202317690058_R05C01_Red.idat.gz	314_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195852	A	202317690062_R03C01_Grn.idat	202317690062_R03C01_Red.idat.gz	446_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195825	A	202317690058_R05C02_Grn.idat	202317690058_R05C02_Red.idat.gz	392_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195854	A	202317690062_R04C01_Grn.idat	202317690062_R04C01_Red.idat.gz	449_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195863	A	202317690049_R02C02_Grn.idat	202317690049_R02C02_Red.idat.gz	471_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195869	A	202317690062_R06C01_Grn.idat	202317690062_R06C01_Red.idat.gz	493_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195731	A	202317690014_R06C02_Grn.idat	202317690014_R06C02_Red.idat.gz	251_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195856	A	202317690062_R05C01_Grn.idat	202317690062_R05C01_Red.idat.gz	457_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195862	A	202317690043_R06C02_Grn.idat	202317690043_R06C02_Red.idat.gz	470_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195762	A	202317690058_R02C01_Grn.idat	202317690058_R02C01_Red.idat.gz	288_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2006	Unknown	NA												
GSM4195847	A	202317690062_R01C01_Grn.idat	202317690062_R01C01_Red.idat.gz	438_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2006	Unknown	NA												
GSM4195706	A	202317690014_R03C02_Grn.idat	202317690014_R03C02_Red.idat.gz	205_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2007	Unknown	NA												
GSM4195801	A	202317690058_R06C01_Grn.idat	202317690058_R06C01_Red.idat.gz	351_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2007	Unknown	NA												
GSM4195802	A	202317690058_R01C02_Grn.idat	202317690058_R01C02_Red.idat.gz	353_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2007	Unknown	NA												
GSM4195819	A	202317690058_R04C02_Grn.idat	202317690058_R04C02_Red.idat.gz	382_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2010	Unknown	NA												
GSM4195859	A	202317690016_R05C02_Grn.idat	202317690016_R05C02_Red.idat.gz	465_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	Unknown	Unknown	Unknown	2011	Unknown	NA												
GSM4195832	A	202317690043_R02C01_Grn.idat	202317690043_R02C01_Red.idat.gz	407_German Shepherd Pointer_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Male	Acute GDV	N	Unknown	Unknown	Unknown	1999	Unknown	NA												
GSM4195749	A	202317690050_R02C02_Grn.idat	202317690050_R02C02_Red.idat.gz	275_German Shepherd Pointer_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Pointer	Female	Acute GDV	N	Unknown	Unknown	Unknown	2008	Unknown	NA												
GSM4195725	A	202317690050_R02C01_Grn.idat	202317690050_R02C01_Red.idat.gz	238_Golden Retriever_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Golden Retriever	Female	Acute GDV	N	Unknown	Unknown	Unknown	1996	Unknown	NA												
