"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","gender:ch1","tissue:ch1"
"GSM1627817","blood_lun_011","GSM1627817","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_011","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627817/suppl/GSM1627817_6241366005_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627817/suppl/GSM1627817_6241366005_R06C02_Red.idat.gz","173662","Lundehund","male","blood"
"GSM1627818","blood_lun_012","GSM1627818","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_012","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627818/suppl/GSM1627818_6241243014_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627818/suppl/GSM1627818_6241243014_R06C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627819","blood_lun_013","GSM1627819","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_013","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627819/suppl/GSM1627819_9235882009_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627819/suppl/GSM1627819_9235882009_R01C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627820","blood_lun_014","GSM1627820","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_014","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627820/suppl/GSM1627820_9235882009_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627820/suppl/GSM1627820_9235882009_R01C02_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627821","blood_lun_015","GSM1627821","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_015","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627821/suppl/GSM1627821_9235884016_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627821/suppl/GSM1627821_9235884016_R01C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627822","blood_lun_016","GSM1627822","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_016","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627822/suppl/GSM1627822_9235884016_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627822/suppl/GSM1627822_9235884016_R01C02_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627823","blood_lun_017","GSM1627823","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_017","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627823/suppl/GSM1627823_9235884023_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627823/suppl/GSM1627823_9235884023_R01C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627824","blood_lun_018","GSM1627824","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_018","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627824/suppl/GSM1627824_9235884023_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627824/suppl/GSM1627824_9235884023_R01C02_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627825","blood_lun_019","GSM1627825","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_019","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627825/suppl/GSM1627825_9235884028_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627825/suppl/GSM1627825_9235884028_R01C01_Red.idat.gz","173662","Lundehund","male","blood"
"GSM1627826","blood_lun_020","GSM1627826","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_020","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627826/suppl/GSM1627826_9235884028_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627826/suppl/GSM1627826_9235884028_R01C02_Red.idat.gz","173662","Lundehund","male","blood"
"GSM1627827","blood_lun_021","GSM1627827","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_021","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627827/suppl/GSM1627827_9270663009_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627827/suppl/GSM1627827_9270663009_R06C02_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627828","blood_lun_022","GSM1627828","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_022","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627828/suppl/GSM1627828_9255473007_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627828/suppl/GSM1627828_9255473007_R06C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627829","blood_lun_023","GSM1627829","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_023","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627829/suppl/GSM1627829_9388954030_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627829/suppl/GSM1627829_9388954030_R01C01_Red.idat.gz","173662","Lundehund","male","blood"
