"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch1.7","characteristics_ch1.8","characteristics_ch1.9","characteristics_ch1.10","characteristics_ch1.11","characteristics_ch1.12","characteristics_ch1.13","characteristics_ch1.14","characteristics_ch1.15","characteristics_ch1.16","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","age:ch1","angle 1 (abc):ch1","angle 2(caf):ch1","angle 3 (dla):ch1","angle 4 (ahg):ch1","angle 5 (afh):ch1","breed:ch1","diameter f:ch1","line ab:ch1","line ae:ch1","line ag:ch1","line bc:ch1","line bd:ch1","line be:ch1","line cd:ch1","line fg:ch1","Sex:ch1"
"GSM1261431","D2154_Saliva_Unaffected_rep1","GSM1261431","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 4.9","diameter f: 40.45","line ab: 17.06","angle 1 (abc): 124.2","line bc: 11.44","line cd: 16.42","line bd: 24.85","line be: 26.74","line ae: 29.63","angle 2(caf): 83.62","angle 3 (dla): 68.36","line ag: 25.13","angle 4 (ahg): 139.97","angle 5 (afh): 48.18","line fg: 18.91","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","4.9","124.2","83.62","68.36","139.97","48.18","Griffon Bruxellois","40.45","17.06","29.63","25.13","11.44","24.85","26.74","16.42","18.91","Male"
"GSM1261432","D2157_Saliva_Affected_rep1","GSM1261432","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 2.6","diameter f: 44.05","line ab: 16.57","angle 1 (abc): 118.89","line bc: 14.86","line cd: 13.31","line bd: 26.3","line be: 26.75","line ae: 33.12","angle 2(caf): 64.4","angle 3 (dla): 70.57","line ag: 29.22","angle 4 (ahg): 150.76","angle 5 (afh): 47.9","line fg: 23.29","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","2.6","118.89","64.4","70.57","150.76","47.9","Griffon Bruxellois","44.05","16.57","33.12","29.22","14.86","26.3","26.75","13.31","23.29","Male"
"GSM1261433","D2173_Saliva_Unaffected_rep1","GSM1261433","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 5.4","diameter f: 41.83","line ab: 17.78","angle 1 (abc): 118.52","line bc: 11.08","line cd: 15.72","line bd: 25.95","line be: 27.5","line ae: 32.26","angle 2(caf): 74.77","angle 3 (dla): 89.01","line ag: 23.36","angle 4 (ahg): 129.91","angle 5 (afh): 51.89","line fg: 21.67","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","5.4","118.52","74.77","89.01","129.91","51.89","Griffon Bruxellois","41.83","17.78","32.26","23.36","11.08","25.95","27.5","15.72","21.67","Male"
"GSM1261434","D2174_Saliva_Unaffected_rep1","GSM1261434","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 3.3","diameter f: 42.6","line ab: 17.21","angle 1 (abc): 110.8","line bc: 9.68","line cd: 13.14","line bd: 22.72","line be: 28.09","line ae: 32","angle 2(caf): 77.66","angle 3 (dla): 95.35","line ag: 25.83","angle 4 (ahg): 144.71","angle 5 (afh): 50.44","line fg: 21.39","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","3.3","110.8","77.66","95.35","144.71","50.44","Griffon Bruxellois","42.6","17.21","32","25.83","9.68","22.72","28.09","13.14","21.39","Male"
"GSM1261435","D2176_Saliva_Unaffected_rep1","GSM1261435","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 7.1","diameter f: 40.38","line ab: 17.99","angle 1 (abc): 112.56","line bc: 11.52","line cd: 14.48","line bd: 25.15","line be: 27.14","line ae: 31.3","angle 2(caf): 73.85","angle 3 (dla): 78.5","line ag: 24.46","angle 4 (ahg): 129.49","angle 5 (afh): 52.32","line fg: 20.1","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","7.1","112.56","73.85","78.5","129.49","52.32","Griffon Bruxellois","40.38","17.99","31.3","24.46","11.52","25.15","27.14","14.48","20.1","Female"
"GSM1261436","D2372_Saliva_Unaffected_rep1","GSM1261436","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 6.4","diameter f: 44.43","line ab: 20.34","angle 1 (abc): 107.8","line bc: 12.45","line cd: 18.9","line bd: 29.4","line be: 30.58","line ae: 32.11","angle 2(caf): 83.29","angle 3 (dla): 72.34","line ag: 26.29","angle 4 (ahg): 145.44","angle 5 (afh): 41.53","line fg: 19.53","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","6.4","107.8","83.29","72.34","145.44","41.53","Griffon Bruxellois","44.43","20.34","32.11","26.29","12.45","29.4","30.58","18.9","19.53","Male"
"GSM1261437","D2375_Saliva_Affected_rep1","GSM1261437","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 4","diameter f: 45.59","line ab: 17.39","angle 1 (abc): 108.32","line bc: 14.4","line cd: 12.01","line bd: 26.24","line be: 25.98","line ae: 33.31","angle 2(caf): 63.45","angle 3 (dla): 83.66","line ag: 26.35","angle 4 (ahg): 143.47","angle 5 (afh): 44.71","line fg: 22.53","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","4","108.32","63.45","83.66","143.47","44.71","Griffon Bruxellois","45.59","17.39","33.31","26.35","14.4","26.24","25.98","12.01","22.53","Female"
"GSM1261438","D2384_Saliva_Unaffected_rep1","GSM1261438","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 5.1","diameter f: 37.95","line ab: 17.27","angle 1 (abc): 117.44","line bc: 11.71","line cd: 14.29","line bd: 24.56","line be: 28.36","line ae: 29.87","angle 2(caf): 81.84","angle 3 (dla): 77.25","line ag: 23","angle 4 (ahg): 135.34","angle 5 (afh): 50.57","line fg: 17.45","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","5.1","117.44","81.84","77.25","135.34","50.57","Griffon Bruxellois","37.95","17.27","29.87","23","11.71","24.56","28.36","14.29","17.45","Female"
"GSM1261439","D2396_Saliva_Affected_rep1","GSM1261439","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 4.4","diameter f: 40.37","line ab: 16.45","angle 1 (abc): 112.89","line bc: 12.76","line cd: 14.67","line bd: 26.01","line be: 28.3","line ae: 30.4","angle 2(caf): 79.87","angle 3 (dla): NA","line ag: NA","angle 4 (ahg): NA","angle 5 (afh): 46.75","line fg: 19.55","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","4.4","112.89","79.87","NA","NA","46.75","Griffon Bruxellois","40.37","16.45","30.4","NA","12.76","26.01","28.3","14.67","19.55","Female"
"GSM1261440","D2397_Saliva_Affected_rep1","GSM1261440","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 3.1","diameter f: 43.61","line ab: 17.11","angle 1 (abc): 121.72","line bc: 12.33","line cd: 12.09","line bd: 23.54","line be: 25.74","line ae: 32.39","angle 2(caf): 69.29","angle 3 (dla): 82.49","line ag: 26.22","angle 4 (ahg): 148.52","angle 5 (afh): 39.92","line fg: 21.11","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","3.1","121.72","69.29","82.49","148.52","39.92","Griffon Bruxellois","43.61","17.11","32.39","26.22","12.33","23.54","25.74","12.09","21.11","Male"
"GSM1261441","D2398_Saliva_Affected_rep1","GSM1261441","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 6","diameter f: 40.59","line ab: 18.52","angle 1 (abc): 112.38","line bc: 11.92","line cd: 15.17","line bd: 26.01","line be: 26.74","line ae: 29.86","angle 2(caf): 78.11","angle 3 (dla): 78.92","line ag: 25.87","angle 4 (ahg): 152.44","angle 5 (afh): 50.7","line fg: 21.44","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","6","112.38","78.11","78.92","152.44","50.7","Griffon Bruxellois","40.59","18.52","29.86","25.87","11.92","26.01","26.74","15.17","21.44","Female"
"GSM1261442","D2399_Saliva_Affected_rep1","GSM1261442","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 5.7","diameter f: 40.06","line ab: 19.13","angle 1 (abc): 109.52","line bc: 12.29","line cd: 15","line bd: 26.68","line be: 28.47","line ae: 31.22","angle 2(caf): 76.18","angle 3 (dla): 76.5","line ag: 25.51","angle 4 (ahg): 157.22","angle 5 (afh): 48.17","line fg: 20.57","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","5.7","109.52","76.18","76.5","157.22","48.17","Griffon Bruxellois","40.06","19.13","31.22","25.51","12.29","26.68","28.47","15","20.57","Male"
"GSM1261443","D2400_Saliva_Unaffected_rep1","GSM1261443","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 3","diameter f: 39.58","line ab: 18.29","angle 1 (abc): 114.79","line bc: 11.47","line cd: 14.54","line bd: 25.29","line be: 28.82","line ae: 31.98","angle 2(caf): 74.81","angle 3 (dla): NA","line ag: NA","angle 4 (ahg): NA","angle 5 (afh): 41.31","line fg: 18.87","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","3","114.79","74.81","NA","NA","41.31","Griffon Bruxellois","39.58","18.29","31.98","NA","11.47","25.29","28.82","14.54","18.87","Male"
"GSM1261444","D2429_Saliva_Affected_rep1","GSM1261444","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 3.1","diameter f: 41.67","line ab: 16.35","angle 1 (abc): 118.1","line bc: 13.21","line cd: 13.63","line bd: 25.47","line be: 25.39","line ae: 31.38","angle 2(caf): 67.56","angle 3 (dla): 75.78","line ag: 23.27","angle 4 (ahg): 139.4","angle 5 (afh): 45.4","line fg: 21.29","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","3.1","118.1","67.56","75.78","139.4","45.4","Griffon Bruxellois","41.67","16.35","31.38","23.27","13.21","25.47","25.39","13.63","21.29","Female"
"GSM1261445","D2430_Saliva_Affected_rep1","GSM1261445","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 3.5","diameter f: 40.42","line ab: 18.33","angle 1 (abc): 104.13","line bc: 13.19","line cd: 13.37","line bd: 26.11","line be: 26.36","line ae: 29.99","angle 2(caf): 71.9","angle 3 (dla): 79.01","line ag: 23.07","angle 4 (ahg): 135.77","angle 5 (afh): 35.05","line fg: 16.8","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","3.5","104.13","71.9","79.01","135.77","35.05","Griffon Bruxellois","40.42","18.33","29.99","23.07","13.19","26.11","26.36","13.37","16.8","Female"
