mocha_sample_id	batch_id	green_idat	red_idat	other_id	study	broad_id_number		Comstock id	sample_type	breed	sex	health_status	Cancer	Cancer_2	Age	Age in DB	Age at death	date_of_birth	date_of_death	date_in_database	Total_mcas	Collected_healthy	size	pop
GSM4195767	A	202317690048_R05C02_Grn.idat	202317690048_R05C02_Red.idat.gz	294_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2004	Unknown	NA	0	U	0	2859
GSM4195800	A	202317690043_R02C02_Grn.idat	202317690043_R02C02_Red.idat.gz	350_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2007	Unknown	NA	0	U	0	2859
GSM4195857	A	202317690036_R01C02_Grn.idat	202317690036_R01C02_Red.idat.gz	458_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2008	Unknown	NA	0	U	0	2859
GSM4195808	A	202317690038_R06C02_Grn.idat	202317690038_R06C02_Red.idat.gz	366_Briard_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Briard	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2005	Unknown	NA	0	U	0	2859
GSM4195793	A	202317690059_R02C01_Grn.idat	202317690059_R02C01_Red.idat.gz	332_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	1999	Unknown	NA	0	U	0	2859
GSM4195704	A	202317690060_R02C02_Grn.idat	202317690060_R02C02_Red.idat.gz	198_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195724	A	202317690050_R01C01_Grn.idat	202317690050_R01C01_Red.idat.gz	237_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2003	Unknown	NA	0	U	0	2859
GSM4195807	A	202317690038_R04C01_Grn.idat	202317690038_R04C01_Red.idat.gz	365_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	N	7.1	Unknown	7.1	1/1/2005	2/6/2012	NA	0	U	0	2859
GSM4195671	A	202317690016_R05C01_Grn.idat	202317690016_R05C01_Red.idat.gz	108_Doberman Pinscher_Acute_GDV_Female	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Doberman Pinscher	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	1/1/2001	Unknown	NA	0	U	0	2859
GSM4195817	A	202317690043_R01C01_Grn.idat	202317690043_R01C01_Red.idat.gz	378_Doberman Pinscher_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	1/1/2001	Unknown	NA	0	U	0	2859
GSM4195669	A	202317690036_R01C01_Grn.idat	202317690036_R01C01_Red.idat.gz	103_Doberman Pinscher_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	1/1/2001	Unknown	NA	0	U	0	2859
GSM4195834	A	202317690043_R04C02_Grn.idat	202317690043_R04C02_Red.idat.gz	410_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2002	Unknown	NA	0	U	0	2859
GSM4195687	A	202317690061_R04C01_Grn.idat	202317690061_R04C01_Red.idat.gz	148_Doberman Pinscher_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2004	Unknown	NA	0	U	0	2859
GSM4195865	A	202317690051_R06C02_Grn.idat	202317690051_R06C02_Red.idat.gz	483_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2004	Unknown	NA	0	U	0	2859
GSM4195786	A	202317690016_R04C01_Grn.idat	202317690016_R04C01_Red.idat.gz	319_Doberman Pinscher_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2005	Unknown	NA	0	U	0	2859
GSM4195858	A	202317690016_R03C01_Grn.idat	202317690016_R03C01_Red.idat.gz	464_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2009	Unknown	NA	0	U	0	2859
GSM4195666	A	202317690059_R06C02_Grn.idat	202317690059_R06C02_Red.idat.gz	92_German Shepherd Dog_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	8.09	Unknown	8.09	1/1/2003	1/31/2011	NA	0	U	0	2859
GSM4195679	A	202317690047_R01C02_Grn.idat	202317690047_R01C02_Red.idat.gz	127_German Shepherd Dog_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195695	A	202317690048_R01C01_Grn.idat	202317690048_R01C01_Red.idat.gz	177_German Shepherd Dog_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195678	A	202317690047_R06C01_Grn.idat	202317690047_R06C01_Red.idat.gz	126_German Shepherd Dog_Acute_GDV_Female	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2001	Unknown	NA	0	U	0	2859
GSM4195696	A	202317690014_R01C02_Grn.idat	202317690014_R01C02_Red.idat.gz	178_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2003	Unknown	NA	0	U	0	2859
GSM4195795	A	202317690036_R05C02_Grn.idat	202317690036_R05C02_Red.idat.gz	334_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2003	Unknown	NA	0	U	0	2859
GSM4195729	A	202317690014_R05C02_Grn.idat	202317690014_R05C02_Red.idat.gz	248_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	1996	Unknown	NA	0	U	0	2859
GSM4195850	A	202317690062_R02C01_Grn.idat	202317690062_R02C01_Red.idat.gz	442_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	1999	Unknown	NA	0	U	0	2859
GSM4195707	A	202317690014_R04C02_Grn.idat	202317690014_R04C02_Red.idat.gz	206_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	1999	Unknown	NA	0	U	0	2859
GSM4195732	A	202317690039_R06C01_Grn.idat	202317690039_R06C01_Red.idat.gz	253_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195809	A	202317690058_R03C02_Grn.idat	202317690058_R03C02_Red.idat.gz	368_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195705	A	202317690014_R02C02_Grn.idat	202317690014_R02C02_Red.idat.gz	202_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195763	A	202317690058_R01C01_Grn.idat	202317690058_R01C01_Red.idat.gz	289_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195765	A	202317690058_R03C01_Grn.idat	202317690058_R03C01_Red.idat.gz	292_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2001	Unknown	NA	0	U	0	2859
GSM4195804	A	202317690058_R02C02_Grn.idat	202317690058_R02C02_Red.idat.gz	357_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2001	Unknown	NA	0	U	0	2859
GSM4195816	A	202317690052_R05C01_Grn.idat	202317690052_R05C01_Red.idat.gz	376_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2002	Unknown	NA	0	U	0	2859
GSM4195867	A	202317690039_R06C02_Grn.idat	202317690039_R06C02_Red.idat.gz	488_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2002	Unknown	NA	0	U	0	2859
GSM4195868	A	202317690036_R02C02_Grn.idat	202317690036_R02C02_Red.idat.gz	491_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2002	Unknown	NA	0	U	0	2859
GSM4195780	A	202317690058_R04C01_Grn.idat	202317690058_R04C01_Red.idat.gz	309_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2002	Unknown	NA	0	U	0	2859
GSM4195838	A	202317690058_R06C02_Grn.idat	202317690058_R06C02_Red.idat.gz	422_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2003	Unknown	NA	0	U	0	2859
GSM4195783	A	202317690058_R05C01_Grn.idat	202317690058_R05C01_Red.idat.gz	314_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2003	Unknown	NA	0	U	0	2859
GSM4195852	A	202317690062_R03C01_Grn.idat	202317690062_R03C01_Red.idat.gz	446_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2003	Unknown	NA	0	U	0	2859
GSM4195825	A	202317690058_R05C02_Grn.idat	202317690058_R05C02_Red.idat.gz	392_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2004	Unknown	NA	0	U	0	2859
GSM4195854	A	202317690062_R04C01_Grn.idat	202317690062_R04C01_Red.idat.gz	449_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2004	Unknown	NA	0	U	0	2859
GSM4195863	A	202317690049_R02C02_Grn.idat	202317690049_R02C02_Red.idat.gz	471_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2004	Unknown	NA	0	U	0	2859
GSM4195869	A	202317690062_R06C01_Grn.idat	202317690062_R06C01_Red.idat.gz	493_German Shepherd Dog_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2005	Unknown	NA	0	U	0	2859
GSM4195731	A	202317690014_R06C02_Grn.idat	202317690014_R06C02_Red.idat.gz	251_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2005	Unknown	NA	0	U	0	2859
GSM4195856	A	202317690062_R05C01_Grn.idat	202317690062_R05C01_Red.idat.gz	457_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2005	Unknown	NA	0	U	0	2859
GSM4195862	A	202317690043_R06C02_Grn.idat	202317690043_R06C02_Red.idat.gz	470_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2005	Unknown	NA	0	U	0	2859
GSM4195762	A	202317690058_R02C01_Grn.idat	202317690058_R02C01_Red.idat.gz	288_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2006	Unknown	NA	0	U	0	2859
GSM4195847	A	202317690062_R01C01_Grn.idat	202317690062_R01C01_Red.idat.gz	438_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2006	Unknown	NA	0	U	0	2859
GSM4195706	A	202317690014_R03C02_Grn.idat	202317690014_R03C02_Red.idat.gz	205_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2007	Unknown	NA	0	U	0	2859
GSM4195801	A	202317690058_R06C01_Grn.idat	202317690058_R06C01_Red.idat.gz	351_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2007	Unknown	NA	0	U	0	2859
