"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","breed:ch1","gender:ch1","tissue:ch1"
"GSM1329996","WG0087816-DNAA08_Belgian Tervuren","GSM1329996","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAA08","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Male","blood"
"GSM1329997","WG0087816-DNAB07_Belgian Tervuren","GSM1329997","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAB07","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Male","blood"
"GSM1329998","WG0087816-DNAB08_Belgian Tervuren","GSM1329998","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAB08","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Female","blood"
"GSM1329999","WG0087816-DNAC07_Belgian Tervuren","GSM1329999","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAC07","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Female","blood"
"GSM1330000","WG0087816-DNAC08_Belgian Tervuren","GSM1330000","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAC08","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Male","blood"
"GSM1330001","WG0087816-DNAD07_Belgian Tervuren","GSM1330001","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAD07","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Female","blood"
"GSM1330002","WG0087816-DNAD08_Belgian Tervuren","GSM1330002","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAD08","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Male","blood"
"GSM1330003","WG0087816-DNAE07_Belgian Tervuren","GSM1330003","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAE07","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Male","blood"
"GSM1330004","WG0087816-DNAE08_Belgian Tervuren","GSM1330004","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAE08","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Male","blood"
"GSM1330005","WG0087816-DNAF07_Belgian Tervuren","GSM1330005","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAF07","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Female","blood"
"GSM1330006","WG0087816-DNAF08_Belgian Tervuren","GSM1330006","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAF08","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Female","blood"
