"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch1.7","characteristics_ch1.8","characteristics_ch1.9","characteristics_ch1.10","characteristics_ch1.11","characteristics_ch1.12","characteristics_ch1.13","characteristics_ch1.14","characteristics_ch1.15","characteristics_ch1.16","characteristics_ch1.17","characteristics_ch1.18","characteristics_ch1.19","characteristics_ch1.20","characteristics_ch1.21","characteristics_ch1.22","characteristics_ch1.23","characteristics_ch1.24","characteristics_ch1.25","characteristics_ch1.26","characteristics_ch1.27","characteristics_ch1.28","characteristics_ch1.29","characteristics_ch1.30","characteristics_ch1.31","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","ab:ch1","ac:ch1","ae:ch1","ai:ch1","bc:ch1","bd:ch1","bk:ch1","breed:ch1","ccd size:ch1","cd:ch1","cj:ch1","disease state:ch1","f-d/bc:ch1","f-d/cd:ch1","f-diam:ch1","fg:ch1","fh:ch1","ID:ch1","l1 (hae):ch1","l10 (afg):ch1","l11(ebk):ch1","l2 (fac):ch1","l3 (dib):ch1","l4 (fae):ch1","l4+l7:ch1","l5 (aeb):ch1","l6(dba):ch1","l7(dbi):ch1","l8 (ebd):ch1","l9 (jcb):ch1","sm:ch1","vd:ch1"
"GSM2748040","CKCS_Saliva_Unaffected_22","GSM2748040","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 0","f-diam: 44.48","ab: 17.55","bc: 15.73","cd: 14.11","bd: 28.3","ae: 33.8","ID: 28.15","ac: 28.77","ai: 27.17","cj: 11.16","fh: 25.87","fg: 26.06","bk: 10.31","l1 (hae): 124.03","l2 (fac): 67.1","l3 (dib): 80.82","l4 (fae): 40.76","l5 (aeb): 30.91","l6(dba): 101.17","l7(dbi): 20.16","l8 (ebd): 7.53","l9 (jcb): 38.89","l10 (afg): 53.2","l11(ebk): 53.6","f-d/cd: 3.152374203","f-d/bc: 2.827717737","l4+l7: 60.92","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0003445-WG3318316-DNA-B10","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","17.55","28.77","33.8","27.17","15.73","28.3","10.31","Cavalier King Charles Spaniel","0","14.11","11.16","control","2.827717737","3.152374203","44.48","26.06","25.87","28.15","124.03","53.2","53.6","67.1","80.82","40.76","60.92","30.91","101.17","20.16","7.53","38.89","0","0"
"GSM2748041","CKCS_Saliva_Unaffected_23","GSM2748041","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 0","f-diam: 45.28","ab: 14.69","bc: 16.3","cd: 14.29","bd: 29.08","ae: 34.16","ID: 28.12","ac: 27.52","ai: 24.43","cj: 11.04","fh: 25.44","fg: 22.81","bk: 9.07","l1 (hae): 124.37","l2 (fac): 66.87","l3 (dib): 84.9","l4 (fae): 41.32","l5 (aeb): 25.74","l6(dba): 107.4","l7(dbi): 18.78","l8 (ebd): 6.17","l9 (jcb): 31.18","l10 (afg): 56.52","l11(ebk): 50.4","f-d/cd: 3.168649405","f-d/bc: 2.77791411","l4+l7: 60.1","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0003446-WG3318316-DNA-B11","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.69","27.52","34.16","24.43","16.3","29.08","9.07","Cavalier King Charles Spaniel","0","14.29","11.04","control","2.77791411","3.168649405","45.28","22.81","25.44","28.12","124.37","56.52","50.4","66.87","84.9","41.32","60.1","25.74","107.4","18.78","6.17","31.18","0","0"
"GSM2748042","CKCS_Saliva_Unaffected_24","GSM2748042","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 1","f-diam: 44.34","ab: 15.95","bc: 18.8","cd: 12.66","bd: 30.3","ae: 35.72","ID: 30.46","ac: 28.29","ai: 25.12","cj: 12.15","fh: 21.62","fg: 26.19","bk: 13.04","l1 (hae): 123.15","l2 (fac): 54.78","l3 (dib): 82.14","l4 (fae): 37.14","l5 (aeb): 26.29","l6(dba): 99.7","l7(dbi): 17.37","l8 (ebd): 1.35","l9 (jcb): 43.99","l10 (afg): 52.46","l11(ebk): 39.42","f-d/cd: 3.502369668","f-d/bc: 2.358510638","l4+l7: 54.51","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0003448-WG3318316-DNA-B12","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.95","28.29","35.72","25.12","18.8","30.3","13.04","Cavalier King Charles Spaniel","0","12.66","12.15","control","2.358510638","3.502369668","44.34","26.19","21.62","30.46","123.15","52.46","39.42","54.78","82.14","37.14","54.51","26.29","99.7","17.37","1.35","43.99","0","1"
"GSM2748043","CKCS_Saliva_Affected_25","GSM2748043","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 6","vd: 2","f-diam: 46.65","ab: 14.71","bc: 19.31","cd: 11.21","bd: 30.52","ae: 34.09","ID: 30.4","ac: 28.96","ai: 24.27","cj: 13.32","fh: 27.59","fg: 22.84","bk: 10.23","l1 (hae): 116.36","l2 (fac): 65.35","l3 (dib): 84.86","l4 (fae): 43.32","l5 (aeb): 24.79","l6(dba): 101.97","l7(dbi): 18.79","l8 (ebd): 8.63","l9 (jcb): 35.09","l10 (afg): 55.52","l11(ebk): 43.15","f-d/cd: 4.161462979","f-d/bc: 2.415846712","l4+l7: 62.11","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0000381-WG3318316-DNA-C01","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.71","28.96","34.09","24.27","19.31","30.52","10.23","Cavalier King Charles Spaniel","6","11.21","13.32","case","2.415846712","4.161462979","46.65","22.84","27.59","30.4","116.36","55.52","43.15","65.35","84.86","43.32","62.11","24.79","101.97","18.79","8.63","35.09","1","2"
"GSM2748044","CKCS_Saliva_Affected_26","GSM2748044","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 4","vd: 2","f-diam: 44.96","ab: 15.72","bc: 15.85","cd: 14.72","bd: 28.46","ae: 33.97","ID: 28.19","ac: 26.72","ai: 25.46","cj: 10.41","fh: 23.85","fg: 0","bk: 9.83","l1 (hae): 122.29","l2 (fac): 68.26","l3 (dib): 80.57","l4 (fae): 42.16","l5 (aeb): 26.63","l6(dba): 101.85","l7(dbi): 20.77","l8 (ebd): 3.73","l9 (jcb): 38.34","l10 (afg): 0","l11(ebk): 51.95","f-d/cd: 3.054347826","f-d/bc: 2.83659306","l4+l7: 62.93","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0001346-WG3318316-DNA-C02","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.72","26.72","33.97","25.46","15.85","28.46","9.83","Cavalier King Charles Spaniel","4","14.72","10.41","case","2.83659306","3.054347826","44.96","0","23.85","28.19","122.29","0","51.95","68.26","80.57","42.16","62.93","26.63","101.85","20.77","3.73","38.34","1","2"
"GSM2748045","CKCS_Saliva_Affected_27","GSM2748045","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 3","vd: 2","f-diam: 48.11","ab: 13.04","bc: 16.59","cd: 14.43","bd: 27.87","ae: 32.64","ID: 27.54","ac: 27.27","ai: 26.4","cj: 10.53","fh: 27.23","fg: 21.69","bk: 9.79","l1 (hae): 120.22","l2 (fac): 77.17","l3 (dib): 80.09","l4 (fae): 45.82","l5 (aeb): 23.21","l6(dba): 109.03","l7(dbi): 27.81","l8 (ebd): 9.57","l9 (jcb): 36.93","l10 (afg): 53.97","l11(ebk): 40.7","f-d/cd: 3.334026334","f-d/bc: 2.899939723","l4+l7: 73.63","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002163-WG3318316-DNA-C03","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","13.04","27.27","32.64","26.4","16.59","27.87","9.79","Cavalier King Charles Spaniel","3","14.43","10.53","case","2.899939723","3.334026334","48.11","21.69","27.23","27.54","120.22","53.97","40.7","77.17","80.09","45.82","73.63","23.21","109.03","27.81","9.57","36.93","1","2"
"GSM2748046","CKCS_Saliva_Affected_28","GSM2748046","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 6","vd: 2","f-diam: 50.92","ab: 17.03","bc: 17.95","cd: 17.42","bd: 33.77","ae: 39.13","ID: 33.38","ac: 30.33","ai: 27.28","cj: 11.49","fh: 29.63","fg: 0","bk: 10.54","l1 (hae): 119.32","l2 (fac): 68.62","l3 (dib): 85.52","l4 (fae): 39.99","l5 (aeb): 25.94","l6(dba): 102.35","l7(dbi): 16.98","l8 (ebd): 7.9","l9 (jcb): 39.46","l10 (afg): 0","l11(ebk): 43.92","f-d/cd: 2.923076923","f-d/bc: 2.836768802","l4+l7: 56.97","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0001551-WG3318316-DNA-C04","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","17.03","30.33","39.13","27.28","17.95","33.77","10.54","Cavalier King Charles Spaniel","6","17.42","11.49","case","2.836768802","2.923076923","50.92","0","29.63","33.38","119.32","0","43.92","68.62","85.52","39.99","56.97","25.94","102.35","16.98","7.9","39.46","1","2"
"GSM2748047","CKCS_Saliva_Affected_29","GSM2748047","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 4","vd: 2","f-diam: 48.22","ab: 15.12","bc: 20.3","cd: 12.8","bd: 31.58","ae: 37.51","ID: 29.67","ac: 30.9","ai: 27.14","cj: 12.28","fh: 26.37","fg: 26.69","bk: 12.91","l1 (hae): 120.77","l2 (fac): 62.34","l3 (dib): 89.5","l4 (fae): 39.42","l5 (aeb): 23.36","l6(dba): 108.87","l7(dbi): 19.72","l8 (ebd): 9.46","l9 (jcb): 58.91","l10 (afg): 51.54","l11(ebk): 38.18","f-d/cd: 3.7671875","f-d/bc: 2.375369458","l4+l7: 59.14","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002145-WG3318316-DNA-C05","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.12","30.9","37.51","27.14","20.3","31.58","12.91","Cavalier King Charles Spaniel","4","12.8","12.28","case","2.375369458","3.7671875","48.22","26.69","26.37","29.67","120.77","51.54","38.18","62.34","89.5","39.42","59.14","23.36","108.87","19.72","9.46","58.91","1","2"
"GSM2748048","CKCS_Saliva_Affected_30","GSM2748048","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 1","vd: 0","f-diam: 47.69","ab: 13.53","bc: 18.6","cd: 15.53","bd: 30.16","ae: 35.02","ID: 30.68","ac: 29.76","ai: 29.86","cj: 10.83","fh: 25.88","fg: 21.5","bk: 12.96","l1 (hae): 123.23","l2 (fac): 69.54","l3 (dib): 74.69","l4 (fae): 42.92","l5 (aeb): 22.51","l6(dba): 104.64","l7(dbi): 31.24","l8 (ebd): 3.18","l9 (jcb): 42.51","l10 (afg): 53.44","l11(ebk): 48.14","f-d/cd: 3.07083065","f-d/bc: 2.563978495","l4+l7: 74.16","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002284-WG3318316-DNA-C06","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","13.53","29.76","35.02","29.86","18.6","30.16","12.96","Cavalier King Charles Spaniel","1","15.53","10.83","case","2.563978495","3.07083065","47.69","21.5","25.88","30.68","123.23","53.44","48.14","69.54","74.69","42.92","74.16","22.51","104.64","31.24","3.18","42.51","1","0"
"GSM2748049","CKCS_Saliva_Affected_31","GSM2748049","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 3","vd: 1","f-diam: 47.08","ab: 15.05","bc: 17.71","cd: 13.67","bd: 29.33","ae: 35.05","ID: 29.22","ac: 28.91","ai: 27.5","cj: 11.76","fh: 27.13","fg: 0","bk: 11.19","l1 (hae): 114.12","l2 (fac): 72.83","l3 (dib): 77.95","l4 (fae): 42.33","l5 (aeb): 25.25","l6(dba): 102.81","l7(dbi): 25.79","l8 (ebd): 10.92","l9 (jcb): 28.46","l10 (afg): 0","l11(ebk): 45.65","f-d/cd: 3.44403804","f-d/bc: 2.658385093","l4+l7: 68.12","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002309-WG3318316-DNA-C07","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.05","28.91","35.05","27.5","17.71","29.33","11.19","Cavalier King Charles Spaniel","3","13.67","11.76","case","2.658385093","3.44403804","47.08","0","27.13","29.22","114.12","0","45.65","72.83","77.95","42.33","68.12","25.25","102.81","25.79","10.92","28.46","1","1"
"GSM2748050","CKCS_Saliva_Affected_32","GSM2748050","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 6","vd: 2","f-diam: 44.88","ab: 15.41","bc: 18.39","cd: 14.76","bd: 31.76","ae: 35.4","ID: 31.65","ac: 28.28","ai: 26.18","cj: 12.77","fh: 26.04","fg: 20.54","bk: 10.43","l1 (hae): 114.84","l2 (fac): 67.12","l3 (dib): 78.45","l4 (fae): 38.59","l5 (aeb): 26.64","l6(dba): 96.69","l7(dbi): 18.16","l8 (ebd): 8.17","l9 (jcb): 30.57","l10 (afg): 47.91","l11(ebk): 42.96","f-d/cd: 3.040650407","f-d/bc: 2.44045677","l4+l7: 56.75","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002353-WG3318316-DNA-C08","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.41","28.28","35.4","26.18","18.39","31.76","10.43","Cavalier King Charles Spaniel","6","14.76","12.77","case","2.44045677","3.040650407","44.88","20.54","26.04","31.65","114.84","47.91","42.96","67.12","78.45","38.59","56.75","26.64","96.69","18.16","8.17","30.57","1","2"
"GSM2748051","CKCS_Saliva_Affected_33","GSM2748051","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: case","sm: 1","ccd size: 3","vd: 1","f-diam: 44.81","ab: 14.99","bc: 13.23","cd: 16.31","bd: 26.56","ae: 29.87","ID: 31.27","ac: 26.98","ai: 31.53","cj: 12.24","fh: 27.98","fg: 0","bk: 10.72","l1 (hae): 118.06","l2 (fac): 77.18","l3 (dib): 58.04","l4 (fae): 48.8","l5 (aeb): 31.15","l6(dba): 90.3","l7(dbi): 32.26","l8 (ebd): 4.18","l9 (jcb): 38.22","l10 (afg): 0","l11(ebk): 58.26","f-d/cd: 2.747394237","f-d/bc: 3.386999244","l4+l7: 81.06","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002441-WG3318316-DNA-C09","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.99","26.98","29.87","31.53","13.23","26.56","10.72","Cavalier King Charles Spaniel","3","16.31","12.24","case","3.386999244","2.747394237","44.81","0","27.98","31.27","118.06","0","58.26","77.18","58.04","48.8","81.06","31.15","90.3","32.26","4.18","38.22","1","1"
