"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","origin:ch1"
"GSM5799295","33651","GSM5799295","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799295/suppl/GSM5799295_201303420003_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799295/suppl/GSM5799295_201303420003_R06C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799296","33652","GSM5799296","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799296/suppl/GSM5799296_201303420026_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799296/suppl/GSM5799296_201303420026_R01C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799297","33661","GSM5799297","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799297/suppl/GSM5799297_201303420026_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799297/suppl/GSM5799297_201303420026_R01C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799298","33654","GSM5799298","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799298/suppl/GSM5799298_201303420026_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799298/suppl/GSM5799298_201303420026_R02C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799299","33662","GSM5799299","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799299/suppl/GSM5799299_201303420026_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799299/suppl/GSM5799299_201303420026_R02C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799300","33656","GSM5799300","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799300/suppl/GSM5799300_201303420026_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799300/suppl/GSM5799300_201303420026_R03C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799301","33664","GSM5799301","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799301/suppl/GSM5799301_201303420026_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799301/suppl/GSM5799301_201303420026_R03C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799302","33657","GSM5799302","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799302/suppl/GSM5799302_201303420026_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799302/suppl/GSM5799302_201303420026_R04C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799303","33665","GSM5799303","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799303/suppl/GSM5799303_201303420026_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799303/suppl/GSM5799303_201303420026_R04C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799304","33658","GSM5799304","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799304/suppl/GSM5799304_201303420026_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799304/suppl/GSM5799304_201303420026_R05C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799305","33666","GSM5799305","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799305/suppl/GSM5799305_201303420026_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799305/suppl/GSM5799305_201303420026_R05C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
