"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1"
"GSM4987176","FlatCoatedRetriever22","GSM4987176","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987176/suppl/GSM4987176_5666151002_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987176/suppl/GSM4987176_5666151002_R04C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987177","FlatCoatedRetriever23","GSM4987177","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987177/suppl/GSM4987177_9388954018_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987177/suppl/GSM4987177_9388954018_R01C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987178","FlatCoatedRetriever24","GSM4987178","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987178/suppl/GSM4987178_9388954018_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987178/suppl/GSM4987178_9388954018_R02C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987179","FlatCoatedRetriever25","GSM4987179","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987179/suppl/GSM4987179_5666151002_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987179/suppl/GSM4987179_5666151002_R05C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987180","FlatCoatedRetriever26","GSM4987180","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987180/suppl/GSM4987180_5666151004_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987180/suppl/GSM4987180_5666151004_R06C01_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987181","FlatCoatedRetriever27","GSM4987181","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987181/suppl/GSM4987181_5666151002_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987181/suppl/GSM4987181_5666151002_R06C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987182","FlatCoatedRetriever28","GSM4987182","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987182/suppl/GSM4987182_8115953037_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987182/suppl/GSM4987182_8115953037_R04C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987183","FlatCoatedRetriever29","GSM4987183","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987183/suppl/GSM4987183_9388954018_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987183/suppl/GSM4987183_9388954018_R03C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987184","FlatCoatedRetriever30","GSM4987184","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987184/suppl/GSM4987184_202915900037_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987184/suppl/GSM4987184_202915900037_R02C01_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987185","FlatCoatedRetriever31","GSM4987185","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987185/suppl/GSM4987185_201432110112_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987185/suppl/GSM4987185_201432110112_R06C02_Red.idat.gz","0","Flatcoated Retriever"
"GSM4987186","FlatCoatedRetriever32","GSM4987186","Public on Apr 13 2021","Dec 23 2020","Apr 13 2021","genomic","1","whole blood","Canis lupus familiaris","breed: Flatcoated Retriever","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on an Illumina iScan.","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","genotypes AA, AB, BB, NC=no call","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987186/suppl/GSM4987186_8115953039_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4987nnn/GSM4987186/suppl/GSM4987186_8115953039_R05C02_Red.idat.gz","0","Flatcoated Retriever"
